City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ribeira Grande,PT,38.5167,-28.7,59.58,76,100,12.55,overcast clouds
80,Asau,RO,46.4333,26.4,37.0,87,2,5.75,light rain
81,Ilulissat,GL,69.2167,-51.1,17.6,79,75,5.75,broken clouds
82,Sao Filipe,CV,14.8961,-24.4956,75.24,63,5,12.26,clear sky
83,Araouane,ML,18.9048,-3.5265,77.63,11,23,9.51,few clouds
84,Tianpeng,CN,30.9866,103.9393,60.8,82,40,7.29,scattered clouds
85,Manokwari,ID,-0.8667,134.0833,81.54,81,100,4.34,overcast clouds
86,Salalah,OM,17.0151,54.0924,89.6,13,0,12.66,clear sky
87,Escarcega,MX,18.6089,-90.7454,74.73,61,100,3.6,overcast clouds
88,San Andres,CO,12.5847,-81.7006,80.6,74,75,10.36,broken clouds
89,Puerto Ayora,EC,-0.7393,-90.3518,77.0,92,67,2.91,broken clouds
90,Tasiilaq,GL,65.6145,-37.6368,17.6,79,75,17.27,light intensity drizzle
91,Rapid Valley,US,44.0625,-103.1463,55.4,40,1,14.97,clear sky
92,Vao,NC,-22.6667,167.4833,76.12,72,48,14.34,scattered clouds
93,Salta,AR,-24.7859,-65.4117,68.0,88,40,4.61,scattered clouds
94,Los Llanos De Aridane,ES,28.6585,-17.9182,62.6,63,0,8.05,clear sky
95,Chuy,UY,-33.6971,-53.4616,68.23,90,24,9.1,few clouds
96,Hithadhoo,MV,-0.6,73.0833,83.23,70,56,12.1,broken clouds
97,Vardo,NO,70.3705,31.1107,35.6,75,75,20.71,light rain
98,North Branch,US,45.5113,-92.9802,71.01,57,71,4.0,broken clouds
99,Caravelas,BR,-17.7125,-39.2481,73.83,85,14,5.73,few clouds
100,Hobart,AU,-42.8794,147.3294,68.0,59,20,8.05,few clouds
101,Maniitsoq,GL,65.4167,-52.9,27.61,96,100,6.2,snow
102,Mataura,NZ,-46.1927,168.8643,61.0,76,29,18.01,scattered clouds
103,Kohtla-Jarve,EE,59.3986,27.2731,29.17,77,95,14.52,overcast clouds
104,Khatanga,RU,71.9667,102.5,12.96,82,96,4.14,overcast clouds
105,Ajaccio,FR,42.0,8.9167,51.8,71,90,6.91,overcast clouds
106,Naron,ES,43.5167,-8.1528,43.0,100,2,4.61,clear sky
107,Mount Isa,AU,-20.7333,139.5,91.4,31,40,9.22,scattered clouds
108,Clyde River,CA,70.4692,-68.5914,-0.4,92,90,9.22,light snow
109,Sinisian,PH,13.9156,120.844,89.6,55,20,8.05,few clouds
110,Ponta Delgada,PT,37.7333,-25.6667,57.2,94,40,12.66,scattered clouds
111,Cairns,AU,-16.9167,145.7667,91.0,62,35,3.44,scattered clouds
112,Kapaa,US,22.0752,-159.319,78.8,61,90,19.57,overcast clouds
113,Angoche,MZ,-16.2325,39.9086,74.62,70,86,8.34,overcast clouds
114,Pucara,PE,-15.9803,-71.4606,39.51,68,100,0.29,overcast clouds
115,Tuy Hoa,VN,13.0833,109.3,81.88,70,100,8.01,overcast clouds
116,Te Anau,NZ,-45.4167,167.7167,61.32,53,25,6.6,scattered clouds
117,Cabedelo,BR,-6.9811,-34.8339,75.2,100,20,3.44,few clouds
118,Victoria,HK,22.2855,114.1577,75.99,78,98,1.99,overcast clouds
119,Warrington,GB,53.3925,-2.5802,37.0,74,41,1.01,scattered clouds
120,San Luis,AR,-33.295,-66.3356,68.23,68,16,9.08,few clouds
121,Banyo,CM,6.75,11.8167,69.85,40,100,1.34,overcast clouds
122,Vrangel,RU,42.7297,133.0839,43.65,73,96,5.66,overcast clouds
123,Luena,AO,-11.7833,19.9167,60.19,70,100,3.87,overcast clouds
124,Japura,ID,-0.3167,102.35,86.32,66,100,2.66,overcast clouds
125,Green River,US,41.5286,-109.4662,55.4,24,75,14.97,broken clouds
126,Port Augusta,AU,-32.5,137.7667,86.0,47,0,9.22,clear sky
127,Cidreira,BR,-30.1811,-50.2056,73.09,81,100,14.72,moderate rain
128,Soderhamn,SE,61.3037,17.0592,34.0,58,41,8.99,scattered clouds
129,Brokopondo,SR,4.75,-55.1667,75.92,93,100,9.01,moderate rain
130,Tuatapere,NZ,-46.1333,167.6833,61.0,76,12,18.01,few clouds
131,Kemlya,RU,54.6963,45.2424,24.19,97,11,3.11,few clouds
132,Yulara,AU,-25.2406,130.9889,84.2,26,0,12.66,clear sky
133,Port Elizabeth,ZA,-33.918,25.5701,60.8,88,90,3.44,overcast clouds
134,Saint-Philippe,RE,-21.3585,55.7679,77.0,69,0,6.91,clear sky
135,Birobidzhan,RU,48.8,132.95,47.39,35,6,11.63,clear sky
136,Qasigiannguit,GL,68.8193,-51.1922,17.6,79,75,5.75,broken clouds
137,Aklavik,CA,68.2191,-135.0107,-4.0,65,98,11.5,overcast clouds
138,Ust-Nera,RU,64.5667,143.2,12.11,83,100,5.03,overcast clouds
139,Faya,SA,18.3851,42.4509,60.8,26,22,3.13,few clouds
140,Dali,CN,25.7,100.1833,54.72,79,100,4.07,light rain
141,Aflao,TG,6.116,1.1914,82.4,89,20,11.5,few clouds
142,Emborion,GR,40.4833,21.55,46.0,87,97,2.3,overcast clouds
143,Mount Gambier,AU,-37.8333,140.7667,69.8,52,19,12.66,few clouds
144,Thompson,CA,55.7435,-97.8558,32.0,100,90,11.5,light snow
145,Ghanzi,BW,-21.5667,21.7833,68.56,42,1,4.0,clear sky
146,Hasaki,JP,35.7333,140.8333,54.0,66,75,16.11,broken clouds
147,Lasa,IT,46.6166,10.7002,30.2,74,20,10.36,few clouds
148,Kununurra,AU,-15.7667,128.7333,91.4,43,60,8.05,broken clouds
149,Bilma,NE,18.6853,12.9164,73.53,8,0,2.86,clear sky
150,Makhinjauri,GE,41.6739,41.694,50.0,93,90,4.61,light rain
151,Kodiak,US,57.79,-152.4072,35.11,46,99,8.05,overcast clouds
152,Manicore,BR,-5.8092,-61.3003,74.34,95,100,0.43,overcast clouds
153,Bredasdorp,ZA,-34.5322,20.0403,59.0,94,100,11.5,overcast clouds
154,Menongue,AO,-14.6585,17.691,60.12,70,36,3.04,scattered clouds
155,Aksu,CN,41.1231,80.2644,53.22,30,100,4.7,overcast clouds
156,Muzaffarpur,IN,26.1167,85.4,78.8,44,2,6.91,haze
157,Vanavara,RU,60.34,102.2797,35.67,100,99,5.35,overcast clouds
158,Fort Nelson,CA,58.8053,-122.7002,48.2,34,40,6.91,scattered clouds
159,Pyu,MM,18.4833,96.4333,75.31,76,92,5.28,overcast clouds
160,Half Moon Bay,US,37.4636,-122.4286,51.8,81,90,5.75,haze
161,Atambua,ID,-9.1061,124.8925,81.68,66,40,6.15,scattered clouds
162,Nome,US,64.5011,-165.4064,5.0,66,90,17.27,light snow
163,Progreso,MX,21.2833,-89.6667,77.0,57,1,9.22,clear sky
164,Upernavik,GL,72.7868,-56.1549,8.13,95,100,5.91,light snow
165,Rawson,AR,-43.3002,-65.1023,59.72,88,100,17.65,moderate rain
166,Broome,US,42.2506,-75.833,44.6,36,1,9.22,clear sky
167,Hamilton,US,39.1834,-84.5333,62.6,67,1,5.26,clear sky
168,Carlsbad,US,33.1581,-117.3506,60.01,82,75,9.22,broken clouds
169,Buala,SB,-8.145,159.5921,83.82,76,67,6.11,moderate rain
170,Ukiah,US,39.1502,-123.2078,66.2,45,1,5.75,clear sky
171,Cabo San Lucas,MX,22.8909,-109.9124,80.6,41,1,11.5,clear sky
172,Rawah,IQ,34.4816,41.9093,63.36,34,0,5.7,clear sky
173,Hrebinka,UA,50.1171,32.4361,36.27,79,26,10.27,scattered clouds
174,Quatre Cocos,MU,-20.2078,57.7625,77.0,88,40,9.82,light rain
175,Goranboy,AZ,40.6103,46.7897,57.2,51,40,39.12,scattered clouds
176,Akureyri,IS,65.6835,-18.0878,17.6,93,90,2.3,snow
177,Marovoay,MG,-16.1,46.6333,77.0,88,20,5.75,few clouds
178,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,94,40,12.66,scattered clouds
179,Ketchikan,US,55.3422,-131.6461,39.31,97,100,5.32,light rain
180,Morgan City,US,29.6994,-91.2068,64.4,94,1,5.75,clear sky
181,Cedar Lake,US,41.3648,-87.4411,64.0,55,1,9.22,clear sky
182,Kruisfontein,ZA,-34.0033,24.7314,59.0,95,100,4.45,overcast clouds
183,Georgetown,MY,5.4112,100.3354,88.0,79,20,4.61,few clouds
184,Port Hardy,CA,50.6996,-127.4199,44.6,76,75,12.66,broken clouds
185,Ginda,IN,30.6945,78.4932,68.45,34,42,0.43,scattered clouds
186,Northam,GB,51.0333,-4.2167,39.0,78,99,8.99,overcast clouds
187,Tallahassee,US,30.4383,-84.2807,62.01,63,20,4.23,smoke
