City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
264,Biloela,AU,84.49,broken clouds,-24.4167,150.5,Silo Motor Inn
265,Rajanpur,PK,82.9,broken clouds,29.1035,70.325,Style Inn Shoes Rajanpur
269,Geraldton,AU,77.0,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
271,Esperance,AU,86.0,few clouds,-33.8667,121.9,Hospitality Esperance
284,Atar,MR,76.57,clear sky,20.5169,-13.0499,Oumou Elghoura
286,Kloulklubed,PW,87.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
287,Touros,BR,75.2,clear sky,-5.1989,-35.4608,INN NEW HORIZON
292,Lakatoro,VU,83.03,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
294,Tabou,CI,79.14,broken clouds,4.423,-7.3528,hotêl doufoulougou
296,Moron,AR,75.0,scattered clouds,-34.6534,-58.6198,Hotel Morón
301,Sao Jose Da Coroa Grande,BR,77.07,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
303,Faanui,PF,81.54,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
305,Porbandar,IN,77.0,mist,21.6422,69.6093,Lords Inn Porbandar
310,Khetri,IN,85.32,scattered clouds,27.9833,75.8,Dinesh Rajoria
321,The Valley,AI,78.01,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
328,Kudahuvadhoo,MV,83.03,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
329,Dubbo,AU,80.6,scattered clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
331,Kuala Terengganu,MY,82.4,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
333,Pangkalanbuun,ID,89.8,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
336,Alofi,NU,80.6,light rain,-19.0595,-169.9187,Taloa Heights
337,Tabuk,PH,81.86,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
350,Alyangula,AU,85.5,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
354,Fuerte Olimpo,PY,77.83,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
361,Isangel,VU,81.39,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
365,Aparecida Do Taboado,BR,76.12,broken clouds,-20.0867,-51.0936,Aritana
368,Denpasar,ID,84.2,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
376,Benguela,AO,79.16,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
377,Samarai,PG,84.16,broken clouds,-10.6167,150.6667,Nuli Sapi
389,Acapulco,MX,82.4,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
392,Kimbe,PG,84.29,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
393,Savannah Bight,HN,75.0,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
400,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
401,Campo Grande,BR,80.6,clear sky,-20.4428,-54.6464,Hotel Harbor Self Buriti Suítes Campo Grande
403,Puerto Escondido,MX,79.14,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
404,Soyo,AO,77.86,moderate rain,-6.1349,12.3689,Hotel Mpampa
405,Namibe,AO,76.3,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
410,Maragogi,BR,76.89,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
420,Aneho,TG,82.4,few clouds,6.2333,1.6,Hotel La Linette
421,Monrovia,LR,78.78,few clouds,6.3005,-10.7969,Sunset Inn
424,Naifaru,MV,83.1,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
429,Banda Aceh,ID,83.62,overcast clouds,5.5577,95.3222,Sulthan Hotel International
445,Kralendijk,BQ,78.8,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
448,Boueni,YT,82.4,moderate rain,-12.9025,45.0761,The feet in water
452,Pemangkat,ID,85.26,broken clouds,1.1667,108.9667,Kost H.Syamsuddin
455,Fare,PF,80.96,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
458,Whitianga,NZ,75.0,overcast clouds,-36.8333,175.7,Beachside Resort Whitianga
471,Bouloupari,NC,86.0,broken clouds,-21.8667,166.05,Oua-Ya Lodge
477,Olinda,BR,78.8,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
479,Mayumba,GA,78.94,overcast clouds,-3.432,10.6554,LIKWALE LODGE
485,Tiarei,PF,86.0,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
492,San-Pedro,CI,78.66,overcast clouds,4.7485,-6.6363,Hotel Maria
502,Allende,MX,80.6,clear sky,25.2833,-100.0167,Ecovergel Hotel Boutique
505,Bengkulu,ID,82.29,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
510,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
514,Nanakuli,US,80.6,clear sky,21.3906,-158.1547,Camp Pālehua
